X,Y,description
-157.8593333,21.3167778,5
-157.8594167,21.3167778,
-157.8593611,21.3170556,
-157.85925,21.3171111,
-157.8594444,21.317,
-157.8591667,21.3171944,
-157.8595,21.3168889,
-157.85925,21.3168611,
-157.8592778,21.3168611,
-157.8593056,21.3170833,
-157.8593056,21.3171111,
-157.8592778,21.3171389,
-157.85925,21.3171667,
-157.8591667,21.3171944,
-157.8591667,21.3172222,
-157.8591667,21.3172222,
-157.8591667,21.3172222,
-157.8591944,21.31725,
-157.8591944,21.31725,
-157.8590556,21.3173056,
-157.8588611,21.3171944,
-157.8589722,21.3173889,
-157.8589444,21.3173889,
-157.8588889,21.3174167,
-157.8588889,21.3174444,
-157.8587222,21.3173056,
-157.8587222,21.3173056,
-157.8585,21.3174444,
-157.8585278,21.3174444,
-157.8585556,21.3176667,
-157.8585278,21.3176944,
-157.8585278,21.3177222,
-157.8585278,21.3176944,
-157.8583056,21.3176667,
-157.8591667,21.3171944,5
-157.8581667,21.3177222,
-157.8581944,21.3177222,
-157.8583333,21.3178333,
-157.8580833,21.3178056,
-157.85825,21.3179444,
-157.85825,21.3179444,
-157.858,21.3178889,
-157.8580556,21.3178611,
-157.8580278,21.3178611,
-157.8579722,21.3179167,
-157.8581944,21.3179722,
-157.8581667,21.3179722,
-157.8581944,21.3179444,
-157.8581111,21.3180278,
-157.8581111,21.3180556,
-157.8581944,21.3181111,
-157.8579722,21.3179167,
-157.8578333,21.318,
-157.8581389,21.3183611,
-157.8581111,21.3183333,
-157.8582222,21.3184722,
-157.8555556,21.3210556,5
-157.8555278,21.3210556,5
-157.8565556,21.3186667,5
-157.8554444,21.32125,
-157.8617222,21.3144444,
-157.8613889,21.3146944,
-157.8612778,21.31475,
-157.8611111,21.3148611,
-157.8611111,21.3148611,
-157.8607222,21.3151111,
-157.8604722,21.3150556,
-157.8608333,21.3153611,
-157.8607222,21.3154167,
-157.8608611,21.3153333,
-157.8602778,21.31575,
-157.86,21.3163333,10
-157.8583611,21.3171111,
-157.8583889,21.3170833,
-157.8583611,21.3171389,
-157.8579444,21.3169722,100
-157.8580556,21.3167778,
-157.8583333,21.31675,
-157.8584722,21.3166111,
-157.8583333,21.3165,
-157.8583611,21.3165,
-157.8585833,21.3164444,
-157.8586111,21.3164444,
-157.8585,21.3164722,
-157.8581111,21.31625,
-157.8580556,21.3165278,
-157.8580556,21.3165556,
-157.8580833,21.3165833,
-157.8580556,21.3165556,
-157.8581111,21.3166111,
-157.8581389,21.3166111,
-157.8581111,21.3166111,
-157.8581389,21.3166111,
-157.8581389,21.3166389,
-157.8581389,21.3166389,
-157.8581667,21.3166389,
-157.8577778,21.3147778,
-157.8579722,21.3163611,
-157.8597222,21.31625,
-157.8577778,21.3173333,
-157.8573056,21.3169167,
-157.8573333,21.3170278,
-157.8576389,21.3172222,
-157.8574167,21.3171111,
-157.8644444,21.2948056,
-157.8436667,21.2943333,
-157.8315,21.4310278,
-157.8481667,21.3183333,
-157.8483889,21.3184444,
-157.84925,21.3174722,
-157.8538889,21.3143889,
-157.8544167,21.3095833,
-157.8559444,21.3033889,
-157.8558611,21.3033889,
-157.8558611,21.3034167,
-157.8620833,21.3145833,
-157.8614444,21.3149444,
-157.8599444,21.3154722,
-157.8597778,21.3161667,
-157.8522222,21.3195556,
-157.85225,21.3196389,
-157.852,21.3198056,
-157.852,21.31975,
-157.8515,21.3211667,
-157.8348333,21.29925,
-157.837111,21.302071,
-157.8357778,21.2974167,
-157.8510278,21.3234167,
-157.84375,21.3168333,
-157.8330556,21.30325,
-157.8329167,21.3031389,
-157.8188056,21.3033056,
-157.8186667,21.30325,
-157.8198889,21.3042778,5
-157.820652,21.302952,
-157.8205833,21.3035556,
-157.820864,21.302562,
-157.8017778,21.3173889,
-157.8018333,21.3173611,
-157.8018889,21.3172778,
-157.8126667,21.3068333,
-157.813,21.3076944,
-157.8123056,21.3066667,
-157.8167222,21.3083056,
-157.8231944,21.3068889,
-157.8516944,21.2993611,5
-157.81475,21.2888056,
-157.8245278,21.3064167,
-157.8288333,21.3054167,
-157.813061,21.312601,
-157.81723,21.30655,
-157.8459167,21.3276667,
-157.8453333,21.3278889,
-157.8506667,21.3162778,
-157.8514444,21.3177222,
-157.8470556,21.3171944,
-157.848247,21.318684,
-157.8517222,21.3101944,
-157.8511667,21.3083056,
-157.85325,21.3094444,
-157.852028,21.31087,
-157.849171,21.304558,
-157.848308,21.306378,
-157.8444167,21.3040556,
-157.8600833,21.3039722,
-157.8579167,21.3014167,
-157.8577778,21.3015,
-157.8580833,21.3013333,
-157.8659167,21.3182222,
-157.8609167,21.315,
-157.8608333,21.3157778,
-157.8606389,21.3151389,
-157.8608611,21.3158333,
-157.8608333,21.3143333,
-157.8598611,21.3156389,
-157.8597222,21.3154722,
-157.8597778,21.3156667,
-157.8597222,21.3166111,
-157.8596389,21.3164722,
-157.8596389,21.3165,
-157.86,21.3169722,
-157.8599444,21.3166111,
-157.8601389,21.3170556,
-157.8596389,21.3173889,
-157.8596389,21.3165278,
-157.8588611,21.3180833,
-157.8589722,21.318,
-157.8588611,21.3183611,
-157.8589167,21.31825,
-157.8589722,21.3182222,
-157.8586389,21.3178333,
-157.816662,21.307115,
-157.8110833,21.3096944,
-157.8181111,21.2940278,
-157.8183333,21.2930278,
-157.8180278,21.2934722,
-157.8187222,21.3002778,
-157.8187778,21.3006667,100
-157.8196389,21.2998056,
-157.8196389,21.2997778,
-157.8196389,21.2998056,
-157.8196389,21.2997778,
-157.8196389,21.2997778,
-157.8196111,21.2997778,
-157.8196111,21.2997778,
-157.8196389,21.2997778,
-157.8196667,21.2997778,
-157.8196111,21.2997778,
-157.8196111,21.2998056,
-157.8196111,21.2997778,
-157.8195833,21.2998056,
-157.8195833,21.2998333,
-157.8195833,21.2998056,
-157.8196111,21.2998056,
-157.8195833,21.2997778,
-157.8195833,21.2997778,
-157.8197778,21.2998333,
-157.8195833,21.2998056,
-157.8197778,21.2997778,
-157.8196667,21.2998056,
-157.8196944,21.2998056,
-157.8196944,21.2997778,
-157.8197222,21.2998056,
-157.8197778,21.2998056,
-157.8197222,21.2998333,
-157.8196944,21.2997778,
-157.81975,21.2998056,
-157.81975,21.2997778,
-157.8197222,21.2997778,
-157.8197778,21.2997222,
-157.8197222,21.2997778,
-157.8188056,21.2995278,
-157.8187778,21.29975,
-157.8186111,21.2997222,
-157.8185833,21.2996944,
-157.8185556,21.29975,
-157.8177222,21.2985833,
-157.8176944,21.2985833,
-157.8175,21.2985556,
-157.8137778,21.2996111,
-157.8138056,21.2995556,
-157.8196111,21.29625,15
-157.8194444,21.29625,15
-157.8193889,21.2962778,15
-157.8191111,21.29625,15
-157.8191667,21.29625,
-157.8191944,21.29625,
-157.8192222,21.2962222,
-157.8191389,21.29625,
-157.8190278,21.2961389,15
-157.8186667,21.2962222,
-157.8186944,21.2961667,
-157.8184444,21.2961944,
-157.8183611,21.2961944,
-157.8182778,21.2961944,
-157.8185556,21.2962222,
-157.8185,21.2962222,
-157.8182778,21.2960833,
-157.8184167,21.2961389,
-157.8183889,21.2961111,
-157.8183611,21.2961389,
-157.8183889,21.2961389,
-157.8185833,21.2961667,
-157.8185556,21.2961389,
-157.8185833,21.2961667,
-157.8185278,21.2961389,
-157.8185,21.2960556,
-157.8184722,21.2960833,
-157.8185,21.2959722,
-157.8184722,21.296,
-157.8184722,21.2960278,
-157.8184722,21.2961111,
-157.8184722,21.2960556,
-157.8184444,21.2961111,
-157.8185,21.2959722,
-157.8188333,21.2958056,
-157.8187778,21.2958056,
-157.8187778,21.2958056,
-157.8186944,21.2958056,
-157.8186944,21.2958056,
-157.8186667,21.2957778,
-157.8185833,21.2957778,
-157.8184722,21.2957778,
-157.8185278,21.2957778,
-157.81875,21.2958056,
-157.8186111,21.2957778,
-157.8184167,21.29575,
-157.8183333,21.296,
-157.8183611,21.2958611,
-157.8183333,21.2960833,
-157.8183333,21.2959444,
-157.8183333,21.2961389,
-157.8168333,21.29525,
-157.8169722,21.2960833,15
-157.8173889,21.2962222,
-157.8175278,21.2960556,
-157.8176111,21.2960556,
-157.8176389,21.2960556,
-157.8178611,21.2961667,10
-157.8143333,21.3006667,
-157.8143056,21.3011111,
-157.81775,21.2970556,
-157.8203333,21.2968611,
-157.817642,21.297007,
-157.8216944,21.2967778,
-157.8215556,21.2966667,
-157.821,21.29525,10
-157.8212778,21.2963056,
-157.8193333,21.2961389,
-157.8192222,21.2961111,
-157.8196111,21.2961389,
-157.8196389,21.2960556,
-157.8196389,21.2960833,
-157.8196667,21.2960556,
-157.8195833,21.2958889,
-157.8196667,21.2960278,
-157.8190556,21.2960278,
-157.8189722,21.2959444,
-157.8189722,21.2959444,
-157.8190556,21.296,
-157.8189722,21.2958333,
-157.8190833,21.2958611,
-157.8189722,21.2958889,
-157.8196944,21.2958611,
-157.8197778,21.2959444,
-157.81975,21.2958889,
-157.81975,21.2961111,
-157.8197778,21.2960833,
-157.8197778,21.2960278,
-157.8197778,21.2959722,
-157.8197778,21.296,
-157.8177222,21.2969722,
-157.8158611,21.3015,
-157.8182222,21.2943333,
-157.819,21.2933611,
-157.8181111,21.2940278,
-157.8183333,21.2930278,
-157.8592222,21.316833326168,
-157.8592222,21.316861126168,
-157.8579722,21.317000026168,15
-157.8555556,21.298027826168,
-157.83275,21.430916726168,15
-158.0558333,21.641611126168,
-157.8441944,21.294638926168,5
-157.8504167,21.320972226168,30
-157.8443056,21.316972226168,5
-157.8446389,21.317027826168,
-157.8448611,21.316916726168,
-157.8449722,21.316944426168,
-157.839,21.307250026168,10
-157.8016667,21.317277826168,
-157.8323056,21.306583326168,15
-157.8555556,21.317027826168,10
-157.9724167,21.394472226168,
-157.781771,21.368189026168,
-157.781342,21.367864026168,
-157.781181,21.367605026168,
-157.812344,21.415525026168,
-158.0227778,21.4986667,
-158.0232222,21.4984444,
-158.0231389,21.4985833,
-158.0252222,21.4996944,
-158.0258056,21.4996944,
-157.8582778,21.3018056,25
-157.8586944,21.3022222,
-157.8585,21.3018056,
-157.8585278,21.3018056,
-157.8585556,21.3018611,
-157.8585556,21.3018889,
-157.8586389,21.302,
-157.8586111,21.3019722,
-157.8586111,21.3019444,
-157.8585833,21.3019444,
-157.8586667,21.3020556,
-157.8586944,21.3020556,
-157.8586667,21.3020278,
-157.8586667,21.3020278,
-157.8587222,21.3020833,
-157.8586944,21.3020833,
-157.8586944,21.3020833,
-157.8586944,21.3020833,
-157.8586667,21.3020556,
-157.8586944,21.3020833,
-157.8586944,21.3020556,
-157.8586667,21.3020556,
-157.8560278,21.3003056,5
-157.8281111,21.2800278,15
-157.8286111,21.2836667,
-157.832,21.283,
-157.8326667,21.2824722,
-157.8327778,21.2823611,
-158.0171667,21.3845833,15
-158.0155,21.3863333,
-158.0155,21.3861667,
-158.0155,21.3862222,
-158.0163889,21.3853889,
-158.0154444,21.3860556,
-157.8481389,21.3121667,50
-157.84825,21.3120556,50
-157.84825,21.3116111,50
-157.8480556,21.3113333,50
-157.8481667,21.3114444,50
-157.8482778,21.3118611,50
-157.8477222,21.3114444,50
-157.8478333,21.3111944,
-157.8477222,21.3111667,
-157.8476667,21.3111389,
-157.8476944,21.3111667,
-157.8473333,21.3107778,
-157.8476667,21.3108889,
-157.8501944,21.311,
-157.84375,21.3116944,
-157.83775,21.3383056,30
-157.83775,21.3382222,
-157.8372778,21.3381111,100
-157.8368889,21.3379722,
-157.8376667,21.3383611,
-157.8389722,21.3389167,
-157.8381944,21.3368889,
-157.8381667,21.3358056,
-157.8381111,21.3357222,
-157.8381667,21.3357778,
-157.8381389,21.33575,
-157.8383056,21.3357222,
-157.8382778,21.3358056,
-157.8382778,21.3358889,
-157.8381944,21.3357222,
-157.8381667,21.3357222,
-157.8381667,21.3356944,
-157.8381944,21.33575,
-157.83825,21.3357222,
-157.8382778,21.3356944,
-157.8383056,21.3357222,
-157.8383056,21.3356667,
-157.83825,21.3356667,
-157.8383333,21.3356667,
-157.8383056,21.3356389,
-157.8383333,21.3356389,
-157.8384444,21.3357778,
-157.8384444,21.33575,
-157.8383889,21.3356944,
-157.8383333,21.3356667,
-157.8383056,21.3356389,
-157.8383333,21.3356389,
-157.8383333,21.3356111,
-157.8383056,21.3355833,
-157.8382778,21.3355556,
-157.8383056,21.3355833,
-157.83825,21.3355278,
-157.83825,21.3355556,
-157.83825,21.3355278,
-157.83825,21.3355278,
-157.8382778,21.3355278,
-157.8381944,21.3354722,
-157.8384167,21.3355833,
-157.8385,21.3357778,
-157.8385,21.3358056,
-157.8383333,21.33575,
-157.8382778,21.3357222,
-157.8384722,21.3357778,
-157.8384722,21.3357778,
-157.8384444,21.3357222,
-157.8384722,21.33575,
-157.8384444,21.33575,
-157.8384444,21.33575,
-157.8384167,21.3357222,
-157.8384167,21.33575,
-157.8384444,21.3357222,
-157.8384167,21.3357222,
-157.8384167,21.3357222,
-157.8384167,21.3356944,
-157.8384167,21.3356667,
-157.8381111,21.3354722,
-157.8381111,21.3354444,
-157.8381111,21.3354444,
-157.8382222,21.3368611,
-157.8374722,21.3375,
-157.8148056,21.30125,50
-157.8145278,21.3011667,
-157.8148889,21.3009722,
-157.8155,21.3010833,
-157.8153611,21.3006667,
-157.8153889,21.3008611,
-157.8149167,21.3006944,
-157.8148889,21.3006944,
-157.8148889,21.3006667,
-157.8149167,21.3006944,
-157.8149167,21.3006667,
-157.8148056,21.3006944,
-157.8147222,21.3009167,
-157.8142222,21.3009444,
-157.8142222,21.3009722,
-157.8141667,21.3009722,
-157.8143056,21.3012778,
-157.8148611,21.3019444,5
-157.8160278,21.3015,
-157.8162222,21.3014444,
-157.817,21.3014167,
-157.817,21.3014167,
-157.8138056,21.2995556,
-157.8139444,21.3010556,
-157.81375,21.2995833,